bond condition,tension method,Width_b_mm,Height_h_mm,Span_L_m,h0/mm,Cover_c_mm,hp/mm,cover for prestress ap/mm,As`/mm2,As_mm2,Ap_mm2,d1/mm,no.,d/mm,no..2,dpre/mm,no..3,fy/Mpa,fpu_Mpa,fpy/Mpa,Es_Mpa,Ep/Mpa,concrete grade,fc_Mpa,ft_Mpa,Ec_Mpa,tension force N/kN,sigma_pe_Mpa,sigma_con_Mpa,crack load Pcr/kN,crack moment Mcr/kN·m,ultimate load Pu/kN,ultimate moment Mu/kN·m,camber f/mm,moment corresponding to crack M/kN·m,load correspd to crack N/kN,average crack space /mm,Max crack width/mm,moment correspd to deflection1 M/kN·m,deflection1 f1/mm,load N/kN,deflection2 f2/mm,Deflection_Yielded_Dy_mm,Limit_Displacement_Du_mm,Ductility Coefficient μ,Stress_Increase_Dfps_Mpa,Mu (Ultimate Moment),Pu (Ultimate Load),Pcr (Cracking Load),Deflection f1/mm,Deflection f2/mm
U,H,200,300,3,246,54,230,70,157,151,101,8,3,10,2,8,2,1705,1705,1470,148000,148000,C40,42.15,4.3,28000,0,880,824,28,19.67,145.8,73.02,0.28,31.72,55.932,153.13,0.5,19.67,0.88,73.02,53.6,13.86,46.43,4.98,508,42222620,2407105,43000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,42.15,4.3,28000,0,880,824,28,22.03,145.8,77.14,0.28,32.4,55.932,162.5,0.5,22.03,1.16,77.14,73.14,13.86,46.43,4.98,508,56203620,2492355,43000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,151,151,8,3,10,2,8,3,1705,1705,1470,148000,148000,C40,47.89,4.3,28000,0,880,824,28,20.08,145.8,75.77,0.28,33.45,55.932,127.27,0.5,20.08,0.98,75.77,47.69,13.86,46.43,4.98,508,42222620,2699845,43000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,151,101,8,3,10,2,8,2,1705,1705,1470,148000,148000,C40,51.32,6,30000,0,880,824,28,22.36,145.8,67.65,0.28,33.01,55.932,185.71,0.5,22.36,0.98,67.65,52.14,13.86,46.43,4.98,508,42222620,2874775,60000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,51.32,6,30000,0,880,824,28,24.26,145.8,72.42,0.28,38,55.932,159.38,0.5,24.26,1.53,72.42,39.15,13.86,46.43,4.98,508,56203620,2960025,60000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,151,151,8,3,10,2,8,3,1705,1705,1470,148000,148000,C40,44.09,6,30000,0,880,824,28,22.49,145.8,103.12,0.28,41.93,55.932,125,0.5,22.49,1.35,103.12,57.35,13.86,46.43,4.98,508,42222620,2506045,60000,3.91E-15,5.86E-15
U,H,200,300,3,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,53.32,6,30000,0,880,824,28,20.33,145.8,86.23,0.28,33.01,55.932,192.85,0.5,20.33,0.47,86.23,47.15,13.86,46.43,4.98,508,56203620,3062025,60000,3.91E-15,5.86E-15
U,H,200,300,3.6,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,43.89,6,30000,0,880,824,28,23.69,145.8,64.76,0.28,32.11,55.932,195,0.5,23.69,1.25,64.76,82.61,13.86,46.43,4.98,508,56203620,2581095,60000,8.10E-15,1.22E-14
U,H,200,300,4.2,246,54,230,70,157,201,101,8,4,10,2,8,2,1705,1705,1470,148000,148000,C40,50.27,6,30000,0,880,824,28,23.69,145.8,78.28,0.28,31.6,55.932,172.5,0.5,23.69,1.25,78.28,123.2,13.86,46.43,4.98,508,56203620,2906475,60000,1.50E-14,2.25E-14
B,H,150,250,2.8,225,25,190,60,226,402,202,16,2,12,2,8,4,368,1730,1470,148000,148000,C40,51.4,6,31400,0,880,824,28,23.69,145.8,78.28,0.28,31.6,55.932,172.5,0.5,23.69,46.43,78.28,123.2,13.86,46.43,4.98,508,104319000,2333835,60000,6.83E-15,1.02E-14
U,H,150,250,2.8,225,25,190,60,226,402,202,16,2,12,2,8,4,368,1730,1470,148000,148000,C40,51.4,6,31400,0,880,824,41,23.69,120.1,78.28,0.28,31.6,55.932,172.5,0.5,23.69,43.1,78.28,123.2,12.44,43.1,4.41,508,104319000,2333835,60000,6.83E-15,1.02E-14
B&U,H,150,250,2.8,225,25,190,60,226,402,202,16,2,12,2,8,4,368,1730,1470,148000,148000,C40,51.4,6,31400,0,880,824,33,23.69,131.3,78.28,0.28,31.6,55.932,172.5,0.5,23.69,42.32,78.28,123.2,12.84,42.32,4.67,508,104319000,2333835,60000,6.83E-15,1.02E-14
B&U,H,150,250,2.8,225,25,190,60,226,402,151,16,2,12,2,8,3,368,1730,1470,148000,148000,C40,51.4,6,31400,0,880,824,41,23.69,126.9,78.28,0.28,31.6,55.932,172.5,0.5,23.69,37.65,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,6.83E-15,1.02E-14
B,H,150,250,2.8,227,23,180,70,101,157,95,10,2,8,2,11,1,547,1730,1325,198000,70100,C40,54.5,6,36600,0,880,824,41,23.69,97,78.28,0.28,31.6,55.932,100,0.5,23.69,6.155,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,6.83E-15,1.02E-14
B,H,150,250,2.8,227,23,180,70,101,236,95,10,3,8,2,11,1,547,1730,1325,198000,70100,C40,54.5,6,36600,0,880,824,41,23.69,118,78.28,0.26,31.6,55.932,77,0.5,23.69,7.145,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,6.83E-15,1.02E-14
B,H,150,250,2.8,227,23,180,70,101,157,95,10,2,8,2,11,1,547,1730,1325,198000,70100,C40,54.5,6,36600,0,880,588,41,23.69,94,78.28,0.22,31.6,55.932,100,0.5,23.69,6.65,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,6.83E-15,1.02E-14
B,H,150,250,2.8,227,23,180,70,101,157,95,10,2,8,2,11,1,547,1730,1325,198000,70100,C40,54.5,6,36600,0,880,824,41,23.69,110,78.28,0.4,31.6,55.932,91,0.5,23.69,6.025,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,6.83E-15,1.02E-14
B,H,150,250,2.8,227,23,180,70,101,157,95,10,2,8,2,11,1,547,1730,1325,198000,70100,C40,54.5,6,36600,0,880,824,41,23.69,88,78.28,0.31,31.6,55.932,91,0.5,23.69,6.025,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,6.83E-15,1.02E-14
B,H,150,280,4.1,260,20,220,60,66,157,43,10,2,6.5,2,7.4,1,629,1730,1940,201000,53800,C40,53.3,6,36600,0,880,824,0,10.9,88,38.9,0.31,19.5,55.932,135,0.2,38.9,89.29,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,43,10,2,6.5,2,7.4,1,629,1730,1940,201000,53800,C40,53.3,6,36600,0,880,824,0,10.9,88,38.9,0.31,37.4,55.932,135,1.5,38.9,89.29,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,43,10,2,6.5,2,7.4,1,629,1730,1940,201000,53800,C40,53.3,6,36600,0,880,824,0,10.9,88,38.9,0.31,16.35,55.932,135,0.087,Mcr/0.5,14.24,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,43,10,2,6.5,2,7.4,1,629,1730,1940,201000,53800,C40,53.3,6,36600,0,880,824,0,10.9,88,38.9,0.31,19.075,55.932,135,0.122,Mcr/0.6,10.26,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,43,10,2,6.5,2,7.4,1,629,1730,1940,201000,53800,C40,53.3,6,36600,0,880,824,0,10.9,88,38.9,0.31,21.8,55.932,135,0.162,Mcr/0.7,7.56,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,43,10,2,6.5,2,7.4,1,629,1730,1940,201000,53800,C40,53.3,6,36600,0,880,824,0,10.9,88,38.9,0.31,24.525,55.932,135,0.201,Mcr/0.8,5.73,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,60.2,6,36600,0,870,824,0,14.5,88,49.8,0.31,26.1,55.932,134,0.2,49.8,95.31,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,60.2,6,36600,0,870,824,0,14.5,88,49.8,0.31,26.1,55.932,134,0.2,49.8,95.31,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,60.2,6,36600,0,870,824,0,14.5,88,49.8,0.31,21.75,55.932,134,0.1,Mcr/0.5,18.59,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,60.2,6,36600,0,870,824,0,14.5,88,49.8,0.31,25.375,55.932,134,0.151,Mcr/0.6,13.57,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,60.2,6,36600,0,870,824,0,14.5,88,49.8,0.31,29,55.932,134,0.196,Mcr/0.7,9.91,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,60.2,6,36600,0,870,824,0,14.5,88,49.8,0.31,32.625,55.932,134,0.245,Mcr/0.8,7.25,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,65.1,6,36600,0,871,824,0,15.4,88,50.9,0.31,25.2,55.932,132,0.2,50.9,95.77,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,65.1,6,36600,0,871,824,0,15.4,88,50.9,0.31,49.4,55.932,132,1.5,50.9,95.77,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,65.1,6,36600,0,871,824,0,15.4,88,50.9,0.31,23.1,55.932,132,0.107,Mcr/0.5,19.61,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,65.1,6,36600,0,871,824,0,15.4,88,50.9,0.31,26.95,55.932,132,0.159,Mcr/0.6,14.53,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,65.1,6,36600,0,871,824,0,15.4,88,50.9,0.31,30.8,55.932,132,0.212,Mcr/0.7,10.48,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,86,10,2,6.5,2,7.4,2,629,1730,1940,201000,53800,C40,65.1,6,36600,0,871,824,0,15.4,88,50.9,0.31,34.65,55.932,132,0.266,Mcr/0.8,7.79,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,262,18,220,60,66,308,86,14,2,6.5,2,7.4,2,629,1730,1940,210000,53800,C40,65.8,6,36600,0,875,824,0,15.5,88,60.5,0.31,30.4,55.932,129,0.2,60.5,78.01,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,262,18,220,60,66,308,86,14,2,6.5,2,7.4,2,629,1730,1940,210000,53800,C40,65.8,6,36600,0,875,824,0,15.5,88,60.5,0.31,59.9,55.932,129,1.5,60.5,78.01,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,262,18,220,60,66,308,86,14,2,6.5,2,7.4,2,629,1730,1940,210000,53800,C40,65.8,6,36600,0,875,824,0,15.5,88,60.5,0.31,23.25,55.932,129,0.061,Mcr/0.5,14.09,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,262,18,220,60,66,308,86,14,2,6.5,2,7.4,2,629,1730,1940,210000,53800,C40,65.8,6,36600,0,875,824,0,15.5,88,60.5,0.31,27.125,55.932,129,0.088,Mcr/0.6,10.19,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,262,18,220,60,66,308,86,14,2,6.5,2,7.4,2,629,1730,1940,210000,53800,C40,65.8,6,36600,0,875,824,0,15.5,88,60.5,0.31,31,55.932,129,0.115,Mcr/0.7,7.8,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,262,18,220,60,66,308,86,14,2,6.5,2,7.4,2,629,1730,1940,210000,53800,C40,65.8,6,36600,0,875,824,0,15.5,88,60.5,0.31,34.875,55.932,129,0.143,Mcr/0.8,6,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,487,1730,1940,201000,53800,C40,57.4,6,36600,0,827,824,0,19.1,88,54.3,0.31,34,55.932,120,0.2,54.3,71.23,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,487,1730,1940,201000,53800,C40,57.4,6,36600,0,827,824,0,19.1,88,54.3,0.31,34,55.932,120,0.2,54.3,71.23,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,487,1730,1940,201000,53800,C40,57.4,6,36600,0,827,824,0,19.1,88,54.3,0.31,28.65,55.932,120,0.115,Mcr/0.5,21.31,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,487,1730,1940,201000,53800,C40,57.4,6,36600,0,827,824,0,19.1,88,54.3,0.31,33.425,55.932,120,0.18,Mcr/0.6,15.19,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,487,1730,1940,201000,53800,C40,57.4,6,36600,0,827,824,0,19.1,88,54.3,0.31,38.2,55.932,120,0.236,Mcr/0.7,10.79,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,487,1730,1940,201000,53800,C40,57.4,6,36600,0,827,824,0,19.1,88,54.3,0.31,42.975,55.932,120,0.295,Mcr/0.8,7.88,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,629,1730,1940,201000,53800,C40,65.9,6,36600,0,832,824,0,20,88,55.6,0.31,33.5,55.932,119,0.2,55.6,65.45,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,629,1730,1940,201000,53800,C40,65.9,6,36600,0,832,824,0,20,88,55.6,0.31,33.5,55.932,119,0.2,55.6,65.45,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,629,1730,1940,201000,53800,C40,65.9,6,36600,0,832,824,0,20,88,55.6,0.31,30,55.932,119,0.112,Mcr/0.5,21.77,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,629,1730,1940,201000,53800,C40,65.9,6,36600,0,832,824,0,20,88,55.6,0.31,35,55.932,119,0.177,Mcr/0.6,14.94,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,629,1730,1940,201000,53800,C40,65.9,6,36600,0,832,824,0,20,88,55.6,0.31,40,55.932,119,0.247,Mcr/0.7,10.75,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,260,20,220,60,66,157,129,10,2,6.5,2,7.4,3,629,1730,1940,201000,53800,C40,65.9,6,36600,0,832,824,0,20,88,55.6,0.31,45,55.932,119,0.305,Mcr/0.8,8.1,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
B,H,150,280,4.1,262,18,220,60,66,462,129,14,3,6.5,2,7.4,3,629,1730,1940,210000,53800,C40,68,6,36600,0,838,824,0,20.8,88,82.5,0.31,62.1,55.932,90,0.2,82.5,64.03,78.28,123.2,12.04,37.65,4.37,508,104319000,2333835,60000,2.23E-14,3.35E-14
